case,activity,resource,timestamp,Variant,Variant index,(case) IDofConceptCase,(case) Includes_subCases,responsibleactor,sumleges,(case) caseProcedure,casestatus,casetype,landregisterid,lastphase,parts,requestComplete,(case) termName,action_code,activityNameNL,concept:name,dateFinished,dateStop,dueDate,lifecycle:transition,monitoringResource,planned,question
8283472,registration date publication,560872,2013-09-16 00:00:00.000,Variant 1026,1026,8283613.0,J,560464.0,1640.6382,,O,557669,,Besluit onherroepelijk,"Bouw,Milieu (neutraal wijziging)",False,Termijn tot besluit,01_HOOFD_101,registratie datum publicatie,01_HOOFD_101,09/16/13 00:00,,,complete,3273854,2013-09-17T09:31:53+02:00,EMPTY
9082329,enter receipt of additional data,9264148,2014-02-11 00:00:00.000,Variant 155,155,9082470.0,J,4901428.0,646.70746,,G,557669,,Besluit onherroepelijk,"Bouw,Handelen in strijd met regels RO",False,,08_AWB45_040,registreren ontvangst aanvullende gegevens,08_AWB45_040,02/11/14 00:00,,,complete,2670601,2014-02-12T14:18:34+01:00,09/02/14 00:00
3604677,refusal after suspension,3273854,2012-03-20 10:38:22.000,Variant 528,528,3604907.0,J,4901428.0,20195.135,,G,557669,,Vergunning verleend,Bouw,False,Termijn bezwaar en beroep 1,11_AH_II_130,weigeringsgrond na aanhouding,11_AH_II_130,03/26/12 09:02,,,complete,3273854,2012-03-21T10:38:16+01:00,FALSE
5888724,send procedure confirmation,560872,2012-09-24 16:09:50.000,Variant 114,114,,J,4901428.0,,,G,557669,,Zaak afgehandeld,Milieu (vergunning),False,,01_HOOFD_065_1,procedurebevestiging versturen,01_HOOFD_065_1,09/24/12 16:10,,,complete,560950,2012-09-25T16:09:48+02:00,EMPTY
3644413,generate publication document decision environmental permit,2670601,2011-08-03 16:23:06.000,Variant 543,543,3644675.0,J,4901428.0,336.1884,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_520,genereren publicatiedocument beschikking omgevingsvergunning,01_HOOFD_520,08/03/11 16:23,,,complete,560464,2011-08-04T16:22:58+02:00,EMPTY
7519487,completed subcases content,3273854,2013-06-24 00:00:00.000,Variant 26,26,7520248.0,J,560464.0,323.24835,,O,557669,,Beschikking verzonden,"Monument,Bouw",True,Termijn bezwaar en beroep 1,01_HOOFD_250_2,deelzaken inhoudelijkheid afgerond,01_HOOFD_250_2,06/24/13 00:00,,,complete,3273854,2013-06-25T10:58:46+02:00,EMPTY
5146211,treat subcases content,2670601,2012-07-24 13:11:39.000,Variant 806,806,5146752.0,J,4901428.0,5913.9824,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_250_1,behandelen deelzaken inhoudelijkheid,01_HOOFD_250_1,07/24/12 13:11,,,complete,2670601,2012-07-24T14:45:29+02:00,EMPTY
10785146,register deadline,560872,2014-09-12 00:00:00.000,Variant 7,7,,,4901428.0,217.03035,,G,557669,,Zaak afgehandeld,Kap,True,,01_HOOFD_810,registratie einddatum,01_HOOFD_810,09/22/14 00:00,,,complete,4676959,2014-09-23T13:51:32+02:00,EMPTY
3298841,terminate on request,3273854,2011-05-03 10:34:23.000,Variant 449,449,,N,4901428.0,345.63,,G,557669,,Vergunning verleend,"Bouw,Monument",True,Termijn bezwaar en beroep 1,05_EIND_010,beeindigen op verzoek,05_EIND_010,05/03/11 10:42,,,complete,560881,2011-05-04T10:34:18+02:00,FALSE
3956795,phase advice known,3273854,2011-11-07 17:27:52.000,Variant 605,605,3959698.0,J,560464.0,5120.8037,,O,557669,716874.0,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_375,fase advies bekend,01_HOOFD_375,11/07/11 17:28,,,complete,560464,,EMPTY
3019065,completed subcases content,2670601,2011-02-28 09:37:03.000,Variant 391,391,,J,4901428.0,116.79765,,G,557669,,Vergunning verleend,Sloop,True,,01_HOOFD_260,deelzaken inhoudelijkheid afgerond,01_HOOFD_260,02/28/11 09:37,,,complete,560925,2011-03-01T09:37:02+01:00,EMPTY
10880883,decision date prior to decision,2670601,2014-08-01 00:00:00.000,Variant 226,226,10881184.0,,4901428.0,,,G,557669,,Buiten behandeling gelaten,Bouw,False,Termijn tot bezwaar buiten behandeling,08_AWB45_070_2,besluitdatum voorafgaand aan beschikking,08_AWB45_070_2,08/01/14 00:00,,,complete,2670601,2014-08-04T09:38:26+02:00,TRUE
5235306,phase decision taken,560890,2012-08-17 12:25:09.000,Variant 814,814,5235447.0,J,4901428.0,151.5714,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_495,fase besluit genomen,01_HOOFD_495,08/17/12 12:25,,,complete,560464,,EMPTY
12034946,submit decision,11744364,2015-01-19 00:00:00.000,Variant 286,286,12035087.0,,560912.0,796.59283,,O,557669,,Beschikking verzonden,Reclame,True,Termijn bezwaar en beroep 1,01_HOOFD_491,beschikking voorleggen,01_HOOFD_491,01/19/15 00:00,,,complete,2670601,2015-01-20T16:50:26+01:00,FALSE
2874224,registrer date of publishing received request,560912,2010-11-24 11:51:27.000,Variant 350,350,,J,560912.0,,,G,557669,,Aanvraag ontvangen,"Bouw,Sloop",True,Termijn tot besluit,01_HOOFD_100,registratie datum publicatie ingekomen aanvraag,01_HOOFD_100,11/24/10 11:56,,,complete,560925,2010-11-25T11:51:04+01:00,EMPTY
7403595,ask stakeholders views,2670601,2013-06-12 00:00:00.000,Variant 975,975,7404276.0,J,4901428.0,143.4786,,G,557669,4804776.0,Beschikking verzonden,Handelen in strijd met regels RO,True,Termijn bezwaar en beroep 1,01_HOOFD_430,belanghebbenden zienswijzen vragen,01_HOOFD_430,06/12/13 00:00,,,complete,2670601,2013-06-13T15:47:11+02:00,FALSE
7948785,set decision status,3273854,2013-09-03 00:00:00.000,Variant 1008,1008,7948966.0,J,560464.0,576.2748,,O,557669,,Beschikking verzonden,"Bouw,Monument",False,Termijn bezwaar en beroep 1,01_HOOFD_440_1a,instellen besluitstatus,01_HOOFD_440_1a,09/03/13 00:00,,,complete,3273854,2013-09-04T11:03:54+02:00,EMPTY
3790242,assessment of content completed,560462,2011-09-23 15:57:15.000,Variant 91,91,,J,560462.0,,,G,557669,,Vergunning verleend,Milieu (neutraal wijziging),True,,01_HOOFD_370,inhoudelijke beoordeling afgerond,01_HOOFD_370,09/23/11 16:16,,,complete,560462,2011-09-24T15:57:13+02:00,EMPTY
12999831,enter senddate decision,560872,2015-02-26 00:00:00.000,Variant 326,326,13000092.0,,560872.0,220.82385,,O,557669,717776.0,Beschikking verzonden,Kap,True,Termijn bezwaar en beroep 1,01_HOOFD_510_4,invoeren verzenddatum beschikking,01_HOOFD_510_4,02/26/15 00:00,,,complete,560872,2015-02-27T12:20:50+01:00,EMPTY
4606722,ask stakeholders views,2670601,2012-05-02 11:58:48.000,Variant 710,710,4607685.0,J,2670601.0,209.46864,,G,557669,,Procedure afgebroken,Aanleg (Uitvoeren werk of werkzaamheid),True,,01_HOOFD_430,belanghebbenden zienswijzen vragen,01_HOOFD_430,05/02/12 12:11,,,complete,2670601,2012-05-03T11:58:46+02:00,FALSE
3905172,transcript decision environmental permit to stakeholders,560872,2011-10-10 12:57:02.000,Variant 94,94,,N,560872.0,,,G,557669,,Vergunning verleend,Kap,True,,01_HOOFD_510_1,afschrift beschikking omgevingsvergunning aan belanghebbenden,01_HOOFD_510_1,10/10/11 12:57,,,complete,560872,2011-10-11T12:53:19+02:00,EMPTY
4023204,grounds for refusal,2670601,2011-11-15 14:29:48.000,Variant 622,622,,J,4901428.0,150.054,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_380,weigeringsgrond,01_HOOFD_380,11/15/11 14:30,,,complete,2670601,2011-11-16T14:29:45+01:00,FALSE
6518750,submit decision,560890,2013-07-01 00:00:00.000,Variant 917,917,6518890.0,J,560464.0,356.0832,,O,557669,6518749.0,Beschikking verzonden,"Monument,Handelen in strijd met regels RO",True,Termijn bezwaar en beroep 1,01_HOOFD_491,beschikking voorleggen,01_HOOFD_491,07/01/13 00:00,,,complete,560890,2013-07-02T12:08:26+02:00,FALSE
7097330,create subcases completeness,3273854,2013-05-14 00:00:00.000,Variant 955,955,7097591.0,J,560464.0,16960.56,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_110_0,deelzaken volledigheid aanmaken,01_HOOFD_110_0,05/14/13 00:00,,,complete,2670601,2013-03-29T12:13:28+01:00,FALSE
4601407,enter receipt of additional data,3273854,2012-03-26 09:44:47.000,Variant 705,705,4601549.0,J,4901428.0,1682.1053,,G,557669,,Vergunning verleend,Bouw,False,Termijn bezwaar en beroep 1,08_AWB45_040,registreren ontvangst aanvullende gegevens,08_AWB45_040,03/26/12 09:45,,,complete,3273854,2012-03-27T09:44:43+02:00,23-3-2012 0:00:00
3458528,ask stakeholders views,560890,2011-06-21 10:15:19.000,Variant 493,493,,J,4901428.0,336.1884,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_430,belanghebbenden zienswijzen vragen,01_HOOFD_430,06/21/11 10:15,,,complete,560464,2011-06-22T10:15:16+02:00,FALSE
3998742,assessment of content completed,3273854,2011-12-13 12:31:11.000,Variant 616,616,,J,4901428.0,0.0,,G,557669,,Vergunning verleend,"Bouw,Sloop",False,Termijn bezwaar en beroep 1,01_HOOFD_370,inhoudelijke beoordeling afgerond,01_HOOFD_370,12/13/11 13:44,,,complete,3273854,2011-12-14T12:31:11+01:00,EMPTY
8783154,enter senddate acknowledgement,560912,2013-11-19 11:34:05.000,Variant 147,147,8785857.0,J,4901428.0,4699.514,,G,557669,,Zaak afgehandeld,Bouw,True,,01_HOOFD_030_2,invoeren verzenddatum ontvangstbevestiging,01_HOOFD_030_2,11/19/13 00:00,,,complete,560912,2013-11-20T11:34:05+01:00,EMPTY
7675576,set decision phase decision permitting decided,560890,2013-08-06 00:00:00.000,Variant 993,993,7677837.0,J,560464.0,310.8984,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_490_5a,instellen besluitfase:besluit vergunnen besloten,01_HOOFD_490_5a,08/06/13 00:00,,,complete,560890,2013-08-07T10:20:51+02:00,EMPTY
3462821,WAW permit aspect,560589,2011-06-22 15:20:20.000,Variant 496,496,,J,560589.0,,,G,557669,,Procedure afgebroken,Bouw,True,Termijn tot besluit omgezet,01_HOOFD_270,WAW vergunningsaspect,01_HOOFD_270,06/22/11 15:20,,,complete,560589,2011-06-23T15:20:13+02:00,FALSE
4695582,enter date publication decision environmental permit,560890,2012-03-14 00:00:00.000,Variant 727,727,4695725.0,J,4901428.0,349.0863,,G,557669,,Vergunning verleend,Sloop,True,Termijn bezwaar en beroep 1,01_HOOFD_530,registreren datum publicatie beschikking omgevingsvergunning,01_HOOFD_530,03/06/12 13:37,,,complete,560890,2012-03-07T13:37:12+01:00,EMPTY
3178568,enter senddate decision procedure term extension,3273854,2011-04-04 00:00:00.000,Variant 422,422,3179029.0,J,560464.0,740.8453,,O,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,06_VD_070,invoeren verzenddatum beschikking verlengen proceduretermijn,06_VD_070,04/04/11 13:24,,,complete,560872,2011-04-05T13:23:53+02:00,EMPTY
3469330,reception through OLO,560925,2011-06-07 10:11:14.000,Variant 499,499,,N,4901428.0,702.61523,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_020,ontvangst via OLO,01_HOOFD_020,06/07/11 10:23,,2011-06-10T10:11:11+02:00,complete,3273854,2011-06-08T10:11:11+02:00,TRUE
2817543,applicant is stakeholder,560950,2010-12-09 12:22:04.000,Variant 168,168,2817552.0,J,560462.0,,Uitgebreid,G,557669,720164.0,Vergunning verleend,Milieu (vergunning),True,,01_HOOFD_050,aanvrager is belanghebbende,01_HOOFD_050,07/04/11 10:18,,,complete,560925,2010-12-10T12:10:45+01:00,TRUE
10906419,phase draft decision made,560890,2014-10-13 00:00:00.000,Variant 231,231,,,560912.0,538.0026,Uitgebreid,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_465,fase ontwerpbesluit genomen,01_HOOFD_465,10/13/14 00:00,,,complete,2670601,2014-10-14T10:43:45+02:00,EMPTY
6518750,create subcases completeness,560890,2013-07-01 00:00:00.000,Variant 917,917,6518890.0,J,560464.0,356.0832,,O,557669,6518749.0,Beschikking verzonden,"Monument,Handelen in strijd met regels RO",True,Termijn bezwaar en beroep 1,01_HOOFD_110_0,deelzaken volledigheid aanmaken,01_HOOFD_110_0,07/01/13 00:00,,,complete,560894,2013-01-15T09:21:42+01:00,FALSE
7079364,phase appeal lodged,11744364,2014-10-29 00:00:00.000,Variant 126,126,7079504.0,J,560912.0,597.8303,,O,557669,,Beschikking verzonden,Bouw,False,Termijn bezwaar en beroep 2,01_BB_635,fase beroep aangetekend,01_BB_635,10/29/14 00:00,,,complete,10716070,2014-10-30T14:13:13+01:00,EMPTY
8021700,objection lodged against decision,560872,2013-10-25 00:00:00.000,Variant 133,133,,J,4901428.0,213.6162,,G,557669,,Zaak afgehandeld,Kap,True,,01_BB_540,bezwaar tegen beschikking ingediend,01_BB_540,10/25/13 00:00,,,complete,4676959,2013-08-27T09:37:55+02:00,FALSE
11903517,send letter in progress,11744364,2014-12-04 00:00:00.000,Variant 282,282,11905158.0,,560912.0,157.09305,,O,557669,11903516.0,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,12/04/14 00:00,,,complete,2670601,2014-12-05T09:12:57+01:00,FALSE
4978339,applicant is stakeholder,560912,2012-06-19 10:18:43.000,Variant 775,775,4978481.0,J,560912.0,75.7857,,G,557669,,Aanvraag ontvankelijk,"Bouw,Handelen in strijd met regels RO",True,Termijn tot besluit,03_GBH_005,aanvrager is belanghebbende,03_GBH_005,06/19/12 10:21,,,complete,560912,2012-06-20T10:18:39+02:00,TRUE
4769679,send letter in progress,3273854,2012-03-29 16:43:29.000,Variant 734,734,,J,4901428.0,349.0863,,G,557669,,Vergunning verleend,Sloop,True,Termijn bezwaar en beroep 1,01_HOOFD_200,brief in behandeling versturen,01_HOOFD_200,03/29/12 16:51,,,complete,3273854,2012-03-30T16:43:25+02:00,FALSE
4734496,treat subcases content,560950,2012-08-22 11:24:48.000,Variant 183,183,4734658.0,J,4901428.0,,Uitgebreid,G,557669,,Zaak afgehandeld,Milieu (vergunning),False,,01_HOOFD_250_1,behandelen deelzaken inhoudelijkheid,01_HOOFD_250_1,08/22/12 11:24,,,complete,560950,2012-08-23T11:24:46+02:00,EMPTY
8958665,start WABOprocedure,560872,2013-12-09 00:00:00.000,Variant 150,150,8958806.0,N,2670601.0,,,G,557669,,Zaak afgehandeld,Brandveilig gebruik (melding),True,,01_HOOFD_061,WABOprocedure instellen,01_HOOFD_061,12/09/13 00:00,,,complete,560872,2013-12-10T08:53:28+01:00,EMPTY
8021700,forward to the competent authority,560872,2013-08-12 00:00:00.000,Variant 133,133,,J,4901428.0,213.6162,,G,557669,,Zaak afgehandeld,Kap,True,,02_DRZ_010,doorsturen aan bevoegd gezag,02_DRZ_010,08/12/13 00:00,,2013-08-17T14:41:50+02:00,complete,4676959,2013-08-13T14:41:50+02:00,FALSE
3387527,forward to the competent authority,560872,2011-05-02 10:46:15.000,Variant 468,468,3387750.0,N,4901428.0,194.30307,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_040,doorsturen aan bevoegd gezag,01_HOOFD_040,05/02/11 10:46,,2011-05-07T10:46:08+02:00,complete,560872,2011-05-03T10:46:08+02:00,FALSE
4517870,OLO messaging active,560912,2012-01-24 11:05:15.000,Variant 690,690,4518012.0,J,4901428.0,8157.121,,G,557669,,Vergunning verleend,Bouw,False,Termijn bezwaar en beroep 1,01_HOOFD_011,OLO berichtenverkeer actief,01_HOOFD_011,01/24/12 11:20,,,complete,2670601,,FALSE
12001876,term for supplying missing data,11744364,2014-11-18 00:00:00.000,Variant 284,284,12002717.0,,560912.0,,,O,557669,,Buiten behandeling gelaten,Bouw,False,Termijn tot bezwaar buiten behandeling,08_AWB45_010,termijn aanleveren ontbrekende gegevens,08_AWB45_010,11/18/14 00:00,,,complete,2670601,2014-11-19T14:59:32+01:00,42
11214970,treat subcases content,2670601,2014-10-01 00:00:00.000,Variant 250,250,11215171.0,,560464.0,137.2404,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_250_1,behandelen deelzaken inhoudelijkheid,01_HOOFD_250_1,10/01/14 00:00,,,complete,2670601,2014-10-02T13:52:41+02:00,EMPTY
3087612,entering senddate draft decision environmental permit,560872,2011-07-04 00:00:00.000,Variant 172,172,3087621.0,N,560950.0,,Uitgebreid,G,557669,,Vergunning verleend,Milieu (vergunning),True,,10_UOV_050_2,invoeren verzenddatum ontwerpbeschikking omgevingsvergunning,10_UOV_050_2,06/30/11 09:13,,,complete,560950,2011-07-01T09:12:57+02:00,EMPTY
3692431,by law,2670601,2011-08-25 12:49:43.000,Variant 550,550,3692573.0,J,560464.0,486.95895,,O,557669,3692430.0,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_480,van rechtswege,01_HOOFD_480,08/25/11 13:13,,,complete,2670601,2011-08-26T12:49:42+02:00,FALSE
4273727,assessment of content completed,3273854,2012-02-03 09:13:47.000,Variant 663,663,,J,560464.0,367.00848,,O,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_370,inhoudelijke beoordeling afgerond,01_HOOFD_370,02/03/12 09:51,,,complete,3273854,2012-02-04T09:13:46+01:00,EMPTY
6105253,creating environmental permit decision,3273854,2012-12-20 10:19:02.000,Variant 878,878,6105454.0,J,4901428.0,863.9907,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_490_1,aanmaken besluit omgevingsvergunning,01_HOOFD_490_1,12/20/12 10:19,,,complete,2670601,2012-12-21T10:19:01+01:00,EMPTY
12566305,treat subcases completeness,11744364,2015-01-15 00:00:00.000,Variant 307,307,12566447.0,,560912.0,1849.3987,,O,557669,12566304.0,Beschikking verzonden,"Bouw,Aanleg (Uitvoeren werk of werkzaamheid),Inrit/Uitweg",False,Termijn bezwaar en beroep 1,01_HOOFD_110_1,behandelen deelzaken volledigheid,01_HOOFD_110_1,01/15/15 00:00,,,complete,2670601,2015-01-16T12:19:27+01:00,EMPTY
9540271,submit decision,2670601,2014-02-28 00:00:00.000,Variant 1064,1064,,,560912.0,2.48685,,O,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_491,beschikking voorleggen,01_HOOFD_491,02/28/14 00:00,,,complete,2670601,2014-03-03T12:14:19+01:00,FALSE
2871542,procedure change,560872,2011-03-07 09:38:39.000,Variant 169,169,2871549.0,N,560950.0,,Uitgebreid,G,557669,,Vergunning onherroepelijk,Milieu (vergunning),True,,01_HOOFD_180,procedure verandering,01_HOOFD_180,07/08/11 11:10,,,complete,560872,2011-03-08T09:38:36+01:00,FALSE
3399416,register deadline,2670601,2011-07-08 12:31:43.000,Variant 78,78,3400078.0,N,4901428.0,866.7389,,G,557669,,Vergunning verleend,Bouw,True,,01_HOOFD_790,registratie einddatum,01_HOOFD_790,07/08/11 12:31,,,complete,560464,2011-07-09T12:31:43+02:00,EMPTY
3837737,register date environmental permit decision,560890,2011-09-13 12:25:58.000,Variant 93,93,,J,4901428.0,345.63,,G,557669,,Vergunning verleend,Sloop,True,,01_HOOFD_490_3,registreren datum besluit omgevingsvergunning,01_HOOFD_490_3,09/13/11 15:24,,,complete,3273854,2011-09-14T12:25:58+02:00,EMPTY
4557918,register date environmental permit decision,560890,2012-03-22 00:00:00.000,Variant 695,695,4558181.0,J,4901428.0,1440.8556,,G,557669,,Vergunning verleend,"Sloop,Bouw",False,Termijn bezwaar en beroep 1,01_HOOFD_491,registreren datum besluit omgevingsvergunning,01_HOOFD_491,03/16/12 10:55,,,complete,560890,2012-03-16T16:46:33+01:00,EMPTY
3837737,assessment of content completed,3273854,2011-09-13 12:12:20.000,Variant 93,93,,J,4901428.0,345.63,,G,557669,,Vergunning verleend,Sloop,True,,01_HOOFD_370,inhoudelijke beoordeling afgerond,01_HOOFD_370,09/13/11 12:25,,,complete,3273854,2011-09-14T12:12:19+02:00,EMPTY
5063668,send confirmation receipt,560872,2012-05-24 12:18:57.000,Variant 786,786,,J,4901428.0,814.5909,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_030_1,versturen ontvangstbevestiging,01_HOOFD_030_1,05/24/12 12:19,,,complete,3273854,2012-05-25T12:12:29+02:00,EMPTY
3387527,completed subcases content,3273854,2011-05-16 11:43:48.000,Variant 468,468,3387750.0,N,4901428.0,194.30307,,G,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_260,deelzaken inhoudelijkheid afgerond,01_HOOFD_260,05/16/11 11:44,,,complete,3273854,2011-05-17T11:43:48+02:00,EMPTY
5096732,subcases completeness completed,2670601,2013-03-08 10:36:36.000,Variant 792,792,5099693.0,J,560464.0,187.989,,O,557669,,Beschikking verzonden,Handelen in strijd met regels RO,True,Termijn bezwaar en beroep 1,01_HOOFD_110_2,deelzaken volledigheid afgerond,01_HOOFD_110_2,03/08/13 10:48,,,complete,2670601,2013-03-09T10:36:35+01:00,EMPTY
3453014,registrer date of publishing received request,3273854,2011-05-31 16:36:30.000,Variant 489,489,,J,560464.0,6234.3223,,O,557669,,Vergunning verleend,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_100,registratie datum publicatie ingekomen aanvraag,01_HOOFD_100,05/31/11 16:37,,,complete,3273854,2011-06-01T16:36:02+02:00,EMPTY
4607510,generating decision environmental permit,560872,2013-01-03 08:54:10.000,Variant 182,182,4608993.0,J,4901428.0,11675.803,Uitgebreid,G,557669,,Besluit onherroepelijk,"Milieu (vergunning),Bouw",False,,01_HOOFD_490_4,genereren beschikking omgevingsvergunning,01_HOOFD_490_4,01/03/13 08:58,,,complete,560950,2013-01-04T08:54:07+01:00,EMPTY
12034946,procedure change,11744364,2015-01-19 00:00:00.000,Variant 286,286,12035087.0,,560912.0,796.59283,,O,557669,,Beschikking verzonden,Reclame,True,Termijn bezwaar en beroep 1,01_HOOFD_330,procedure verandering,01_HOOFD_330,01/19/15 00:00,,,complete,2670601,2015-01-20T16:01:50+01:00,FALSE
5235306,phase decision sent,560890,2012-08-17 12:25:54.000,Variant 814,814,5235447.0,J,4901428.0,151.5714,,G,557669,,Beschikking verzonden,Bouw,True,Termijn bezwaar en beroep 1,01_HOOFD_515,fase beschikking verzonden,01_HOOFD_515,08/17/12 12:26,,,complete,560464,,EMPTY
